,Title,DOI,Author
0,"Synthesis of benthic flux components in the Patos Lagoon coastal zone, Rio Grande do Sul, Brazil",10.1029/2011WR011477,King J.N.
1,Caratterizzazione geotermica dell’acquifero costiero di Ravenna. Geothermal characterization of the coastal aquifer near Ravenna (Italy),10.7343/AS-012-12-0026,M. A.
2,Landscape and weather controls on fine-scale calcareous fen hydrodynamics,10.2166/nh.2011.127,Duval T.P.
3,A least-square solver to estimate vertical groundwater velocity using subsurface temperature profile,,Dong L.
4,Analysis of groundwater isotopes and ions characteristics relationship in the area of seawater intrusion,10.4028/www.scientific.net/AMR.599.724,Du Z.
5,"Occurrences of dissolved trace metals (Cu, Cd, and Mn) in the Pearl River Estuary (China), a large river-groundwater-estuary system",10.1016/j.csr.2012.10.009,Wang D.
6,"Hydrogeological settings of a volcanic island (San CristÃ3bal, Galapagos) from joint interpretation of airborne electromagnetics and geomorphological observations",10.5194/hess-16-4571-2012,Pryet A.
7,Numerical simulation of different shemes' influence on coastal areas for groundwater-source heat pump engineering,10.4028/www.scientific.net/AMR.588-589.1278,Jun P.
8,Potential climate change impacts on the water balance of regional unconfined aquifer systems in south-western Australia,10.5194/hess-16-4581-2012,Ali R.
9,Seawater injection barrier recharge with advanced reclaimed water at Llobregat delta aquifer (Spain),10.2166/wst.2012.423,Ortuño F.
10,"Conceptual model of groundwater quality for the monitoring and management of the Voronka groundwater body, Estonia",10.3176/earth.2012.4.11,Marandi A.
11,Dissolved organic matter composition of winter flow in the Yukon River basin: Implications of permafrost thaw and increased groundwater discharge,10.1029/2012GB004341,O'Donnell J.
12,Role of surface-water and groundwater interactions on projected summertime streamflow in snow dominated regions: An integrated modeling approach,10.1029/2012WR012319,Huntington J.L.
13,Bi-communal reuse of treated effluent in Cyprus,10.2166/wrd.2012.026,Blair S.
14,Investigation of Transboundary Aquifers in Russia: Modern State and Main Tasks,10.1007/978-94-007-3949-9_7,Zektser I.S.
15,"Monitoring physical properties of a submarine groundwater discharge source at Kalogria Bay, SW Peloponnissos, Greece",10.1051/epjconf/20122404003,Karageorgis A.
16,"Permitting and constructing a large pipeline through a stateregulated, sensitive wetland resource: Alberta clipper and the gully 30 calcareous fen",10.1115/IPC2012-90622,Arndt J.
17,Parameter estimation and vulnerability assessment of coastal unconfined aquifer to saltwater intrusion,10.1061/(ASCE)HE.1943-5584.0000524,Mahesha A.
18,Storm water runoff and deep groundwater drainage in two closed basins,10.1061/(ASCE)HE.1943-5584.0000502,Nachabe Prof. M.
19,Major ion chemistry in a coastal karstic groundwater resource located in Western Ireland,10.3318/IJES.2012.30.13,Petrunic B.
20,GIS as a tool for modelling groundwater flow,10.1109/ISBEIA.2012.6422939,Jani J.
21,Recovery experience of power equipment from tsunami disaster,10.1109/CMD.2012.6416319,Sasaki M.
22,Effect of magnesium sulfate on the unconfined compressive strength of cement-treated soils,10.1520/JTE20120132,Yang Y.
23,"Hyperspectral characteristics of seawater intrusion in Pearl River Delta, China based on laboratory experiments",10.1109/IGARSS.2012.6352533,Xiong Y.J.
24,"A study on evaluation of probable sources of heavy metal pollution in groundwater of Kalpakkam region, South India",10.1007/s10669-012-9398-1,Chidambaram S.
25,Chasing water: Diverging farmers' strategies to cope with the groundwater crisis in the coastal chaouia region in morocco,10.1002/ird.1673,Berahmani A.
26,"Relationship between precipitation and water-table fluctuation in a coastal dune aquifer: Northeastern coast of the Buenos Aires province, Argentina",10.1007/s10040-012-0890-y,Carretero S.C.
27,The impact of groundwater discharge to the Hsueh-Shan tunnel on the water resources in northern Taiwan,10.1007/s10040-012-0895-6,Chiu Y.C.
28,"Estimates of groundwater discharge to a coastal wetland using multiple techniques: Taylor Slough, Everglades National Park, USA",10.1007/s10040-012-0907-6,Zapata-Rios X.
29,Classification and delineation of groundwater-lake interactions in the Nebraska Sand Hills (USA) using electrical resistivity patterns,10.1007/s10040-012-0891-x,Befus K.M.
30,"Estimating Contributions of Nitrate and Herbicides From Groundwater to Headwater Streams, Northern Atlantic Coastal Plain, United States",10.1111/j.1752-1688.2012.00672.x,Ator S.
31,Numerical modelling of climate change impacts on freshwater lenses on the North Sea Island of Borkum using hydrological and geophysical methods,10.5194/hess-16-3621-2012,Sulzbacher H.
32,"Modelling hydrostratigraphy and groundwater flow of a fractured and karst aquifer in a Mediterranean basin (Salento peninsula, southeastern Italy)",10.1007/s12665-012-1631-1,Giudici M.
